configuration,requests,concurrency,throughput_req_s,mean_ms,p50_ms,p95_ms,p99_ms,max_ms
dynamic_batching_off,100,8,349.0018,18.6878,16.6506,33.8554,39.1138,50.4992
dynamic_batching_on,100,8,416.0364,15.6262,14.3201,28.8216,36.8800,38.1227
